"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
"4448.8888888888905","2019-10-13T13:04:14.454Z","50.0107877","8.041074","87.45003254060397","0.749","0.78","3","141"
"4504.500000000002","2019-10-13T13:04:14.506Z","50.0107875","8.0410745","87.41903254060396","0.844","0.75","3","141"
"4560.111111111113","2019-10-13T13:04:14.558Z","50.0107873","8.0410748","87.41803254060396","0.802","0.8","3","141"
"4615.722222222224","2019-10-13T13:04:14.610Z","50.0107871","8.0410751","87.41103254060398","0.82","0.8","3","141"
"4671.333333333336","2019-10-13T13:04:14.662Z","50.010787","8.0410754","87.40703254060396","0.801","0.82","3","141"
"4726.944444444447","2019-10-13T13:04:14.714Z","50.0107869","8.0410757","87.40203254060397","0.758","0.8","3","141"
"4782.555555555558","2019-10-13T13:04:14.766Z","50.0107865","8.041076","87.37703254060396","0.778","0.76","3","141"
"4838.16666666667","2019-10-13T13:04:14.818Z","50.0107862","8.0410762","87.38003254060398","0.697","0.78","3","141"
"4893.777777777781","2019-10-13T13:04:14.870Z","50.0107859","8.0410763","87.38703254060398","0.668","0.7","3","141"
"4949.388888888892","2019-10-13T13:04:14.922Z","50.0107857","8.0410767","87.38403254060397","0.676","0.67","3","141"
"5005","2019-10-13T13:04:14.974Z","50.0107853","8.041077","87.38703254060398","0.703","0.68","3","141"
"5057.684210526316","2019-10-13T13:04:15.029Z","50.010785","8.0410772","87.37403254060398","0.693","0.7","3","141"
"5110.368421052632","2019-10-13T13:04:15.084Z","50.0107845","8.0410776","87.34103254060396","0.828","0.69","3","141"
"5163.0526315789475","2019-10-13T13:04:15.139Z","50.0107842","8.041078","87.33303254060398","0.822","0.83","3","141"
"5215.736842105263","2019-10-13T13:04:15.194Z","50.0107839","8.0410783","87.30203254060397","0.769","0.82","3","141"
"5268.421052631579","2019-10-13T13:04:15.249Z","50.0107836","8.0410785","87.28303254060397","0.697","0.77","3","141"
"5321.105263157895","2019-10-13T13:04:15.304Z","50.0107833","8.041079","87.26503254060397","0.704","0.7","3","141"
"5373.789473684211","2019-10-13T13:04:15.359Z","50.010783","8.0410794","87.23603254060397","0.706","0.71","3","141"
"5426.473684210527","2019-10-13T13:04:15.414Z","50.0107827","8.0410799","87.23303254060396","0.736","0.71","3","141"
"5479.1578947368425","2019-10-13T13:04:15.469Z","50.0107825","8.0410803","87.22503254060398","0.704","0.74","3","141"
"5531.842105263158","2019-10-13T13:04:15.524Z","50.0107822","8.0410805","87.20203254060398","0.679","0.71","3","141"
"5584.526315789474","2019-10-13T13:04:15.579Z","50.0107819","8.0410807","87.20303254060399","0.689","0.68","3","141"
"5637.21052631579","2019-10-13T13:04:15.634Z","50.0107816","8.0410811","87.17803254060398","0.67","0.69","3","141"
"5689.894736842106","2019-10-13T13:04:15.689Z","50.0107812","8.0410815","87.16903254060396","0.778","0.67","3","141"
"5742.578947368422","2019-10-13T13:04:15.744Z","50.010781","8.041082","87.17003254060397","0.746","0.78","3","141"
"5795.263157894738","2019-10-13T13:04:15.799Z","50.0107807","8.0410821","87.16303254060396","0.658","0.75","3","141"
"5847.947368421053","2019-10-13T13:04:15.854Z","50.0107801","8.0410825","87.17003254060397","0.817","0.66","3","141"
"5900.631578947369","2019-10-13T13:04:15.909Z","50.0107798","8.041083","87.17003254060397","0.875","0.82","3","141"
"5953.315789473685","2019-10-13T13:04:15.964Z","50.0107795","8.0410835","87.17603254060397","0.842","0.88","3","141"
"6006","2019-10-13T13:04:16.019Z","50.0107794","8.0410838","87.16703254060398","0.674","0.84","3","141"
"6064.882352941177","2019-10-13T13:04:16.074Z","50.0107789","8.0410841","87.14303254060398","0.761","0.67","3","141"
"6123.764705882353","2019-10-13T13:04:16.129Z","50.0107787","8.0410845","87.13903254060396","0.708","0.76","3","141"
"6182.64705882353","2019-10-13T13:04:16.184Z","50.0107785","8.041085","87.11703254060397","0.712","0.71","3","141"
"6241.529411764706","2019-10-13T13:04:16.239Z","50.0107783","8.0410852","87.12203254060397","0.605","0.71","3","141"
"6300.411764705883","2019-10-13T13:04:16.294Z","50.0107779","8.0410853","87.10603254060398","0.556","0.61","3","141"
"6359.2941176470595","2019-10-13T13:04:16.349Z","50.0107777","8.0410856","87.05803254060397","0.599","0.56","3","141"
"6418.176470588236","2019-10-13T13:04:16.404Z","50.0107774","8.041086","87.01403254060396","0.652","0.6","3","141"
"6477.058823529413","2019-10-13T13:04:16.459Z","50.0107771","8.0410862","86.98603254060397","0.616","0.65","3","141"
"6535.941176470589","2019-10-13T13:04:16.514Z","50.0107769","8.0410865","86.95103254060398","0.595","0.62","3","141"
"6594.823529411766","2019-10-13T13:04:16.569Z","50.0107767","8.0410867","86.94703254060398","0.606","0.6","3","141"
"6653.705882352942","2019-10-13T13:04:16.624Z","50.0107765","8.0410871","86.94703254060398","0.65","0.61","3","141"
"6712.588235294119","2019-10-13T13:04:16.679Z","50.0107762","8.0410873","86.94803254060396","0.636","0.65","3","141"
"6771.4705882352955","2019-10-13T13:04:16.734Z","50.0107758","8.0410875","86.93603254060396","0.659","0.64","3","141"
"6830.352941176472","2019-10-13T13:04:16.789Z","50.0107756","8.0410876","86.90803254060397","0.648","0.66","3","141"
"6889.235294117649","2019-10-13T13:04:16.844Z","50.0107754","8.0410879","86.89303254060398","0.599","0.65","3","141"
"6948.117647058825","2019-10-13T13:04:16.899Z","50.0107751","8.0410884","86.88303254060396","0.7","0.6","3","141"
"7007","2019-10-13T13:04:16.954Z","50.0107748","8.0410888","86.91603254060398","0.738","0.7","3","141"
"7059.684210526316","2019-10-13T13:04:17.011Z","50.0107746","8.0410892","86.92403254060396","0.677","0.74","3","141"
"7112.368421052632","2019-10-13T13:04:17.069Z","50.0107731","8.0410908","86.94803254060396","0.844","0.68","3","141"
"7165.0526315789475","2019-10-13T13:04:17.127Z","50.010774","8.0410901","86.92103254060397","0.653","0.66","3","141"
"7217.736842105263","2019-10-13T13:04:17.185Z","50.0107736","8.0410905","86.94303254060397","0.733","0.65","3","141"
"7270.421052631579","2019-10-13T13:04:17.243Z","50.0107731","8.0410908","86.94803254060396","0.844","0.73","3","141"
"7323.105263157895","2019-10-13T13:04:17.301Z","50.0107729","8.0410912","86.93603254060396","0.725","0.84","3","141"
"7375.789473684211","2019-10-13T13:04:17.359Z","50.0107726","8.0410916","86.90003254060396","0.712","0.73","3","141"
"7428.473684210527","2019-10-13T13:04:17.417Z","50.0107723","8.0410921","86.87703254060396","0.764","0.71","3","141"
"7481.1578947368425","2019-10-13T13:04:17.475Z","50.0107717","8.0410927","86.84103254060396","0.901","0.76","3","141"
"7533.842105263158","2019-10-13T13:04:17.532Z","50.0107713","8.0410931","86.82303254060396","0.921","0.9","3","141"
"7586.526315789474","2019-10-13T13:04:17.590Z","50.0107708","8.0410936","86.79003254060397","0.934","0.92","3","141"
"7639.21052631579","2019-10-13T13:04:17.648Z","50.0107705","8.0410939","86.77703254060397","0.862","0.94","3","141"
"7691.894736842106","2019-10-13T13:04:17.706Z","50.0107703","8.0410942","86.75903254060397","0.756","0.86","3","141"
"7744.578947368422","2019-10-13T13:04:17.764Z","50.0107701","8.0410946","86.73803254060398","0.731","0.76","3","141"
"7797.263157894738","2019-10-13T13:04:17.822Z","50.0107698","8.041095","86.71903254060398","0.76","0.73","3","141"
"7849.947368421053","2019-10-13T13:04:17.880Z","50.0107695","8.0410952","86.68903254060398","0.696","0.76","3","141"
"7902.631578947369","2019-10-13T13:04:17.938Z","50.0107692","8.0410955","86.66603254060398","0.658","0.7","3","141"
"7955.315789473685","2019-10-13T13:04:17.996Z","50.0107688","8.0410958","86.63403254060397","0.659","0.66","3","141"
"8008","2019-10-13T13:04:18.054Z","50.0107682","8.0410963","86.59903254060397","0.62","0.66","3","141"
"8063.611111111111","2019-10-13T13:04:18.109Z","50.0107682","8.0410963","86.59903254060397","0.62","0.66","3","141"
"8119.222222222223","2019-10-13T13:04:18.164Z","50.0107679","8.0410966","86.58203254060398","0.618","0.62","3","141"
"8174.833333333334","2019-10-13T13:04:18.219Z","50.0107674","8.0410969","86.57403254060397","0.706","0.71","3","141"
"8230.444444444445","2019-10-13T13:04:18.274Z","50.0107671","8.0410973","86.54903254060396","0.703","0.71","3","141"
"8286.055555555557","2019-10-13T13:04:18.329Z","50.0107669","8.0410977","86.52603254060396","0.678","0.71","3","141"
"8341.666666666668","2019-10-13T13:04:18.384Z","50.0107666","8.0410982","86.50503254060398","0.722","0.68","3","141"
"8397.27777777778","2019-10-13T13:04:18.439Z","50.0107663","8.0410984","86.51403254060396","0.677","0.73","3","141"
"8452.88888888889","2019-10-13T13:04:18.494Z","50.0107659","8.0410985","86.51703254060398","0.651","0.68","3","141"
"8508.500000000002","2019-10-13T13:04:18.549Z","50.0107656","8.0410988","86.49403254060398","0.723","0.66","3","141"
"8564.111111111113","2019-10-13T13:04:18.604Z","50.0107654","8.0410992","86.49403254060398","0.722","0.73","3","141"
"8619.722222222224","2019-10-13T13:04:18.659Z","50.010765","8.0410997","86.48703254060398","0.797","0.73","3","141"
"8675.333333333336","2019-10-13T13:04:18.714Z","50.0107648","8.0411002","86.46203254060397","0.794","0.8","3","141"
"8730.944444444447","2019-10-13T13:04:18.769Z","50.0107646","8.0411005","86.41403254060397","0.737","0.8","3","141"
"8786.555555555558","2019-10-13T13:04:18.824Z","50.010764","8.0411008","86.39203254060398","0.871","0.74","3","141"
"8842.16666666667","2019-10-13T13:04:18.879Z","50.0107636","8.0411014","86.35403254060397","0.968","0.87","3","141"
"8897.777777777781","2019-10-13T13:04:18.934Z","50.0107635","8.0411017","86.33203254060398","0.809","0.97","3","141"
"8953.388888888892","2019-10-13T13:04:18.989Z","50.0107632","8.0411018","86.28103254060396","0.683","0.81","3","141"
"9009","2019-10-13T13:04:19.044Z","50.0107624","8.0411026","86.17103254060397","0.833","0.69","3","141"
"9064.611111111111","2019-10-13T13:04:19.099Z","50.0107624","8.0411026","86.17103254060397","0.833","0.69","3","141"
"9120.222222222223","2019-10-13T13:04:19.154Z","50.010762","8.041103","86.18003254060396","0.842","0.84","3","141"
"9175.833333333334","2019-10-13T13:04:19.209Z","50.0107616","8.0411034","86.17503254060397","0.867","0.87","3","141"
"9231.444444444445","2019-10-13T13:04:19.264Z","50.0107613","8.0411037","86.14903254060398","0.846","0.87","3","141"
"9287.055555555557","2019-10-13T13:04:19.319Z","50.0107611","8.041104","86.10903254060396","0.702","0.85","3","141"
"9342.666666666668","2019-10-13T13:04:19.374Z","50.0107608","8.0411041","86.11803254060398","0.63","0.71","3","141"
"9398.27777777778","2019-10-13T13:04:19.429Z","50.0107605","8.0411045","86.04903254060396","0.699","0.63","3","141"
"9453.88888888889","2019-10-13T13:04:19.484Z","50.0107601","8.0411047","85.98103254060398","0.688","0.7","3","141"
"9509.500000000002","2019-10-13T13:04:19.539Z","50.0107596","8.041105","85.96303254060398","0.783","0.69","3","141"
"9565.111111111113","2019-10-13T13:04:19.594Z","50.0107592","8.0411054","85.95103254060398","0.843","0.79","3","141"
"9620.722222222224","2019-10-13T13:04:19.649Z","50.0107589","8.0411057","85.95203254060398","0.775","0.85","3","141"
"9676.333333333336","2019-10-13T13:04:19.704Z","50.0107587","8.0411062","85.90403254060398","0.738","0.78","3","141"
"9731.944444444447","2019-10-13T13:04:19.759Z","50.0107585","8.0411063","85.90903254060397","0.589","0.74","3","141"
"9787.555555555558","2019-10-13T13:04:19.814Z","50.0107579","8.0411066","85.84903254060397","0.789","0.59","3","141"
"9843.16666666667","2019-10-13T13:04:19.869Z","50.0107575","8.0411068","85.80303254060398","0.847","0.8","3","141"
"9898.777777777781","2019-10-13T13:04:19.924Z","50.0107571","8.0411073","85.77703254060397","0.905","0.85","3","141"
"9954.388888888892","2019-10-13T13:04:19.979Z","50.0107569","8.0411076","85.75903254060397","0.751","0.91","3","141"
"10010","2019-10-13T13:04:20.034Z","50.0107562","8.0411082","85.70203254060398","0.788","0.77","3","141"
"10065.611111111111","2019-10-13T13:04:20.089Z","50.010756","8.0411088","85.65103254060396","0.831","0.8","3","141"
"10121.222222222223","2019-10-13T13:04:20.144Z","50.0107557","8.0411093","85.62803254060397","0.867","0.84","3","141"
"10176.833333333334","2019-10-13T13:04:20.199Z","50.0107553","8.0411096","85.60003254060398","0.828","0.87","3","141"
"10232.444444444445","2019-10-13T13:04:20.254Z","50.0107549","8.0411099","85.57503254060397","0.823","0.83","3","141"
"10288.055555555557","2019-10-13T13:04:20.309Z","50.0107547","8.0411103","85.54803254060398","0.784","0.83","3","141"
"10343.666666666668","2019-10-13T13:04:20.364Z","50.0107543","8.0411106","85.52503254060396","0.811","0.79","3","141"
"10399.27777777778","2019-10-13T13:04:20.419Z","50.0107539","8.0411109","85.49703254060397","0.858","0.82","3","141"
"10454.88888888889","2019-10-13T13:04:20.474Z","50.0107536","8.0411111","85.42603254060397","0.585","0.86","3","141"
"10510.500000000002","2019-10-13T13:04:20.529Z","50.0107536","8.0411111","85.42603254060397","0.585","0.59","3","141"
"10566.111111111113","2019-10-13T13:04:20.584Z","50.0107534","8.0411113","85.41203254060396","0.581","0.59","3","141"
"10621.722222222224","2019-10-13T13:04:20.639Z","50.0107531","8.0411115","85.38803254060396","0.656","0.59","3","141"
"10677.333333333336","2019-10-13T13:04:20.694Z","50.0107529","8.0411117","85.33503254060396","0.656","0.66","3","141"
"10732.944444444447","2019-10-13T13:04:20.749Z","50.0107527","8.0411115","85.32503254060397","0.664","0.66","3","141"
"10788.555555555558","2019-10-13T13:04:20.804Z","50.0107525","8.0411117","85.29703254060398","0.647","0.67","3","141"
"10844.16666666667","2019-10-13T13:04:20.859Z","50.0107521","8.0411117","85.27803254060397","0.694","0.65","3","141"
"10899.777777777781","2019-10-13T13:04:20.914Z","50.0107519","8.0411121","85.26303254060396","0.662","0.7","3","141"
"10955.388888888892","2019-10-13T13:04:20.969Z","50.0107517","8.0411129","85.20703254060398","0.69","0.67","3","141"
"11011","2019-10-13T13:04:21.024Z","50.0107515","8.0411132","85.19003254060398","0.643","0.7","3","138"
"11069.882352941177","2019-10-13T13:04:21.079Z","50.0107512","8.0411134","85.19903254060397","0.616","0.65","3","138"
"11128.764705882353","2019-10-13T13:04:21.134Z","50.0107509","8.0411135","85.18203254060397","0.579","0.62","3","138"
"11187.64705882353","2019-10-13T13:04:21.189Z","50.0107505","8.0411137","85.16903254060396","0.674","0.58","3","138"
"11246.529411764706","2019-10-13T13:04:21.244Z","50.0107502","8.041114","85.18103254060397","0.666","0.68","3","138"
"11305.411764705883","2019-10-13T13:04:21.299Z","50.01075","8.0411144","85.17603254060397","0.708","0.67","3","138"
"11364.29411764706","2019-10-13T13:04:21.354Z","50.0107498","8.0411149","85.16503254060397","0.756","0.71","3","138"
"11423.176470588236","2019-10-13T13:04:21.409Z","50.0107496","8.0411153","85.14403254060396","0.708","0.76","3","138"
"11482.058823529413","2019-10-13T13:04:21.464Z","50.0107493","8.0411155","85.14003254060397","0.712","0.71","3","138"
"11540.94117647059","2019-10-13T13:04:21.519Z","50.0107489","8.0411159","85.14503254060396","0.781","0.72","3","138"
"11599.823529411766","2019-10-13T13:04:21.574Z","50.0107485","8.0411163","85.15703254060396","0.901","0.78","3","138"
"11658.705882352942","2019-10-13T13:04:21.629Z","50.010748","8.0411166","85.15803254060397","0.867","0.9","3","138"
"11717.588235294119","2019-10-13T13:04:21.684Z","50.0107479","8.0411171","85.17303254060398","0.79","0.87","3","138"
"11776.470588235296","2019-10-13T13:04:21.739Z","50.0107476","8.0411175","85.14103254060397","0.802","0.79","3","138"
"11835.352941176472","2019-10-13T13:04:21.794Z","50.0107474","8.0411179","85.13703254060398","0.81","0.8","3","138"
"11894.235294117649","2019-10-13T13:04:21.849Z","50.0107471","8.0411181","85.15503254060398","0.755","0.81","3","138"
"11953.117647058825","2019-10-13T13:04:21.904Z","50.0107469","8.0411183","85.16103254060398","0.72","0.76","3","138"
"12012","2019-10-13T13:04:21.959Z","50.0107468","8.0411185","85.14603254060397","0.673","0.72","3","133"
"12064.684210526315","2019-10-13T13:04:22.014Z","50.0107464","8.0411189","85.13703254060398","0.818","0.68","3","133"
"12117.36842105263","2019-10-13T13:04:22.069Z","50.010746","8.041119","85.13703254060398","0.827","0.82","3","133"
"12170.052631578945","2019-10-13T13:04:22.124Z","50.0107457","8.0411192","85.15603254060396","0.773","0.83","3","133"
"12222.73684210526","2019-10-13T13:04:22.179Z","50.0107454","8.0411195","85.15803254060397","0.591","0.78","3","133"
"12275.421052631575","2019-10-13T13:04:22.234Z","50.0107454","8.0411195","85.15803254060397","0.591","0.59","3","133"
"12328.10526315789","2019-10-13T13:04:22.289Z","50.0107451","8.0411198","85.12803254060397","0.681","0.59","3","133"
"12380.789473684204","2019-10-13T13:04:22.344Z","50.0107448","8.04112","85.13603254060398","0.685","0.68","3","133"
"12433.47368421052","2019-10-13T13:04:22.399Z","50.0107444","8.0411203","85.14803254060398","0.79","0.69","3","133"
"12486.157894736834","2019-10-13T13:04:22.454Z","50.010744","8.0411205","85.14103254060397","0.727","0.79","3","133"
"12538.84210526315","2019-10-13T13:04:22.509Z","50.0107437","8.0411207","85.13203254060396","0.66","0.73","3","133"
"12591.526315789464","2019-10-13T13:04:22.564Z","50.0107433","8.0411209","85.11503254060396","0.693","0.66","3","133"
"12644.21052631578","2019-10-13T13:04:22.619Z","50.010743","8.0411213","85.10203254060399","0.696","0.69","3","133"
"12696.894736842094","2019-10-13T13:04:22.674Z","50.0107426","8.0411216","85.10703254060398","0.748","0.7","3","133"
"12749.578947368409","2019-10-13T13:04:22.729Z","50.0107421","8.0411219","85.09603254060399","0.807","0.75","3","133"
"12802.263157894724","2019-10-13T13:04:22.784Z","50.0107419","8.0411223","85.07503254060397","0.786","0.81","3","133"
"12854.947368421039","2019-10-13T13:04:22.839Z","50.0107418","8.0411228","85.05303254060398","0.724","0.79","3","133"
"12907.631578947354","2019-10-13T13:04:22.894Z","50.0107415","8.0411234","85.05403254060398","0.817","0.72","3","133"
"12960.315789473669","2019-10-13T13:04:22.949Z","50.0107411","8.0411235","85.06403254060398","0.797","0.82","3","133"
"13013","2019-10-13T13:04:23.004Z","50.0107408","8.0411238","85.06803254060397","0.744","0.8","3","141"
